q,seq_len,p_clean,p_clean_ablate_top_head,p_corrupt,p_corrupt_restore_top_head
2,247,0.9176638126373291,0.7518035769462585,0.024100584909319878,0.4591381251811981
3,266,0.7764943838119507,0.4603692591190338,0.009844804182648659,0.2439422309398651
4,241,0.9683961272239685,0.9140530824661255,0.1368180513381958,0.5971728563308716
5,254,0.9196350574493408,0.7095188498497009,0.002342068590223789,0.18612879514694214
7,233,0.9471945762634277,0.8991631269454956,0.20540153980255127,0.6309026479721069
9,232,0.9471656680107117,0.8878201246261597,0.2261551320552826,0.6831045746803284
10,249,0.9340423345565796,0.8551006317138672,0.1901995837688446,0.6709982752799988
11,249,0.8247518539428711,0.5644189119338989,0.015150408260524273,0.2753419578075409
13,233,0.9254646301269531,0.8575931787490845,0.11901681870222092,0.4063705801963806
14,230,0.4222121238708496,0.23536202311515808,0.013762017711997032,0.07794200628995895
15,212,0.8355073928833008,0.6251302361488342,0.020703965798020363,0.2452639490365982
16,210,0.40746256709098816,0.1559230387210846,0.006850088015198708,0.07984820753335953
17,213,0.7900488376617432,0.547393798828125,0.012289293110370636,0.20859675109386444
18,212,0.8398564457893372,0.6489956974983215,0.059434086084365845,0.40408894419670105
19,323,0.4777396023273468,0.1374300718307495,0.0026076233480125666,0.0895877555012703
20,216,0.9316315054893494,0.8511011004447937,0.27517813444137573,0.7263376712799072
21,256,0.9354454874992371,0.8123029470443726,0.010052886791527271,0.2824629545211792
22,268,0.519477367401123,0.1246018186211586,0.00039552044472657144,0.07121364772319794
23,276,0.7998436093330383,0.4817869961261749,0.013793367892503738,0.2845328748226166
25,191,0.9911435842514038,0.9830459952354431,0.20422685146331787,0.6286695599555969
26,209,0.8755691647529602,0.7005094289779663,0.04000381380319595,0.3222433626651764
28,235,0.818146288394928,0.6555008888244629,0.01997341960668564,0.1553255170583725
30,202,0.9472885727882385,0.8950598835945129,0.08919407427310944,0.3560343086719513
31,227,0.9447011351585388,0.8763059973716736,0.20172207057476044,0.6453949213027954
32,245,0.9589651226997375,0.8844094276428223,0.03217574208974838,0.47845181822776794
33,198,0.6110720634460449,0.30070722103118896,0.0006080065504647791,0.020521150901913643
36,233,0.9735335111618042,0.9310452342033386,0.15779682993888855,0.673029899597168
37,226,0.92743319272995,0.8085421323776245,0.02721044048666954,0.34411999583244324
38,214,0.636121392250061,0.30477282404899597,0.027764905244112015,0.30247431993484497
39,256,0.9690409898757935,0.9253888130187988,0.2118578404188156,0.7541402578353882
41,240,0.7163887619972229,0.33547210693359375,0.0019569573923945427,0.0870300680398941
43,246,0.9790621995925903,0.9379717707633972,0.017027467489242554,0.3573630452156067
44,238,0.5522608757019043,0.19952981173992157,0.0015250395517796278,0.052630577236413956
45,222,0.9639512896537781,0.9107934832572937,0.23607464134693146,0.7489283084869385
46,202,0.9571815729141235,0.9011117815971375,0.07355119287967682,0.47452205419540405
48,215,0.666990339756012,0.35694342851638794,0.007550375536084175,0.12749682366847992
49,195,0.9452292323112488,0.8697883486747742,0.048412371426820755,0.3801890015602112
50,205,0.7358434200286865,0.4043186902999878,0.01462837029248476,0.21534356474876404
53,215,0.9695308804512024,0.9183029532432556,0.08529483526945114,0.6152143478393555
54,197,0.9868653416633606,0.9731492400169373,0.06139199063181877,0.4544230103492737
55,205,0.9706096053123474,0.9347214102745056,0.25591757893562317,0.762479841709137
56,188,0.938906192779541,0.8441604971885681,0.01097387820482254,0.20807857811450958
57,212,0.7012138962745667,0.47714588046073914,0.06212324649095535,0.30955639481544495
58,207,0.828733503818512,0.5936794877052307,0.02266537770628929,0.23874671757221222
59,215,0.902732253074646,0.7089925408363342,0.03146025910973549,0.4282120168209076
60,208,0.6488892436027527,0.30505838990211487,0.029607553035020828,0.25487223267555237
61,203,0.9819983839988708,0.9640100598335266,0.27558836340904236,0.6916130781173706
62,210,0.8917115926742554,0.8052393794059753,0.28795933723449707,0.6205518841743469
63,233,0.9470174908638,0.9018149971961975,0.3187601864337921,0.6922624111175537
65,261,0.33652761578559875,0.0781383365392685,0.0018975622951984406,0.042538296431303024
67,276,0.9473156332969666,0.8640902638435364,0.03229181468486786,0.49556589126586914
68,382,0.9252758026123047,0.7304596900939941,0.03730899468064308,0.568350076675415
71,280,0.9007818102836609,0.542705237865448,0.009649030864238739,0.7119548916816711
72,279,0.6117088198661804,0.23547473549842834,0.011982651427388191,0.33315742015838623
73,386,0.8802089691162109,0.5757388472557068,0.06455250829458237,0.5568333268165588
77,298,0.9029527306556702,0.7650496363639832,0.23526102304458618,0.6733008027076721
78,269,0.7211238741874695,0.4734814465045929,0.01346097607165575,0.09591109305620193
82,426,0.8741758465766907,0.3790290653705597,0.002701154910027981,0.6149070262908936
83,237,0.44958391785621643,0.22292597591876984,0.01163731049746275,0.07539787143468857
84,200,0.7651634216308594,0.47983452677726746,0.04870978370308876,0.29037341475486755
