bucket,N,necessity_mean,necessity_ci95_low,necessity_ci95_high,sufficiency_mean,sufficiency_ci95_low,sufficiency_ci95_high,random_drop_mean,random_drop_ci95_low,random_drop_ci95_high
short,39,0.6609254347888801,0.6137358756126979,0.70087731743115,0.7345090451372716,0.6995537442133541,0.7651413632073225,0.009332014964177059,-0.008425051203140844,0.025049263124282538
medium,38,0.7286373177496563,0.6822008585731294,0.7735932091923468,0.7482900154251471,0.7026117806471456,0.7941789511404127,0.009200936869571083,-0.004812169800463476,0.026644189008756685
long,39,0.740580513419655,0.7018516204213181,0.7800985818054565,0.7998428634658549,0.7718071440625676,0.8293129756056236,0.018505186988757208,-0.001908650956092736,0.04368106150665344
